EmployeeID,Department,Region,PerformanceScore
1,HR,North,90
2,HR,South,82
3,HR,East,88
4,HR,West,75
5,HR,Central,91
6,HR,North,84
7,HR,South,79
8,HR,East,93
9,HR,West,86
10,HR,Central,80
11,HR,North,77
12,HR,South,89
13,HR,East,85
14,HR,West,92
15,HR,Central,81
16,HR,North,78
17,HR,South,87
18,HR,East,90
19,Sales,West,74
20,Sales,Central,83
21,Sales,North,76
22,Sales,South,88
23,Sales,East,82
24,Sales,West,79
25,Engineering,Central,91
26,Engineering,North,86
27,Engineering,South,80
28,Engineering,East,77
29,Engineering,West,89
30,Engineering,Central,84
